AgentID,Date,ArrivalTime,EntryPoint,TargetTerminal,UserType,ReservationStatus,DisabilityStatus,LotID,ParkingFee,ParkingDurationForecast
10001,8/1/25,0.02,Van Wyck Expressway,T5,Staff,False,False,,0,480.0
10002,8/1/25,0.06,Van Wyck Expressway,T5,Business,True,False,,0,432.0
10003,8/1/25,0.09,Van Wyck Expressway,T4,Vacationer,True,False,,0,3219.0
10004,8/1/25,0.2,Van Wyck Expressway,T8,Short-Term,False,False,,0,57.0
10005,8/1/25,0.23,Van Wyck Expressway,T1,Business,False,False,,0,264.0
10006,8/1/25,0.24,Van Wyck Expressway,T5,Staff,False,False,,0,480.0
10007,8/1/25,0.3,Van Wyck Expressway,T5,Short-Term,False,False,,0,72.0
10008,8/1/25,0.38,Van Wyck Expressway,T1,Business,True,False,,0,462.0
10009,8/1/25,0.51,Van Wyck Expressway,T1,Vacationer,True,False,,0,1274.0
10010,8/1/25,0.52,Van Wyck Expressway,T8,Business,False,False,,0,132.0
10011,8/1/25,0.62,Van Wyck Expressway,T8,Short-Term,False,False,,0,68.0
10012,8/1/25,0.63,Van Wyck Expressway,T1,Business,False,False,,0,399.0
10013,8/1/25,0.74,Van Wyck Expressway,T4,Vacationer,False,False,,0,1653.0
10014,8/1/25,0.77,Van Wyck Expressway,T4,Business,False,False,,0,260.0
10015,8/1/25,0.79,Van Wyck Expressway,T4,Vacationer,False,False,,0,2764.0
10016,8/1/25,0.8,Van Wyck Expressway,T1,Short-Term,True,False,,0,119.0
10017,8/1/25,0.86,Van Wyck Expressway,T8,Short-Term,True,False,,0,48.0
10018,8/1/25,0.91,Van Wyck Expressway,T5,Vacationer,True,False,,0,1780.0
10019,8/1/25,0.91,Van Wyck Expressway,T8,Vacationer,False,False,,0,738.0
10020,8/1/25,0.93,Van Wyck Expressway,T1,Business,False,False,,0,350.0
10021,8/1/25,1.02,Van Wyck Expressway,T1,Business,False,False,,0,426.0
10022,8/1/25,1.07,Van Wyck Expressway,T4,Short-Term,False,False,,0,77.0
10023,8/1/25,1.09,Van Wyck Expressway,T1,Short-Term,False,False,,0,111.0
10024,8/1/25,1.12,Van Wyck Expressway,T8,Business,False,False,,0,210.0
10025,8/1/25,1.14,Van Wyck Expressway,T8,Vacationer,False,False,,0,2732.0
10026,8/1/25,1.19,Van Wyck Expressway,T4,Vacationer,False,False,,0,2868.0
10027,8/1/25,1.27,Van Wyck Expressway,T8,Vacationer,False,False,,0,3858.0
10028,8/1/25,1.28,Van Wyck Expressway,T1,Short-Term,False,False,,0,40.0
10029,8/1/25,1.29,Van Wyck Expressway,T8,Business,False,False,,0,230.0
10030,8/1/25,1.3,Van Wyck Expressway,T4,Business,False,False,,0,163.0
10031,8/1/25,1.32,Van Wyck Expressway,T4,Staff,False,False,,0,480.0
10032,8/1/25,1.35,Van Wyck Expressway,T4,Business,False,False,,0,466.0
10033,8/1/25,1.36,Van Wyck Expressway,T1,Business,False,False,,0,479.0
10034,8/1/25,1.37,Van Wyck Expressway,T8,Staff,True,False,,0,480.0
10035,8/1/25,1.39,Van Wyck Expressway,T5,Staff,False,False,,0,480.0
10036,8/1/25,1.42,Van Wyck Expressway,T4,Business,False,False,,0,362.0
10037,8/1/25,1.47,Van Wyck Expressway,T5,Short-Term,False,False,,0,72.0
10038,8/1/25,1.64,Van Wyck Expressway,T5,Short-Term,True,False,,0,105.0
10039,8/1/25,1.65,Van Wyck Expressway,T1,Short-Term,False,False,,0,59.0
10040,8/1/25,1.66,Van Wyck Expressway,T5,Vacationer,False,False,,0,2915.0
10041,8/1/25,1.67,Van Wyck Expressway,T8,Business,False,False,,0,422.0
10042,8/1/25,1.72,Van Wyck Expressway,T4,Vacationer,False,False,,0,3834.0
10043,8/1/25,1.73,Van Wyck Expressway,T4,Business,False,False,,0,306.0
10044,8/1/25,1.74,Van Wyck Expressway,T4,Staff,False,False,,0,480.0
10045,8/1/25,1.83,Van Wyck Expressway,T1,Business,False,False,,0,372.0
10046,8/1/25,1.91,Van Wyck Expressway,T4,Vacationer,False,False,,0,2902.0
10047,8/1/25,1.91,Van Wyck Expressway,T4,Short-Term,False,False,,0,82.0
10048,8/1/25,1.93,Van Wyck Expressway,T1,Staff,True,False,,0,480.0
10049,8/1/25,1.94,Van Wyck Expressway,T4,Business,False,False,,0,478.0
10050,8/1/25,1.95,Van Wyck Expressway,T4,Short-Term,False,False,,0,97.0
10051,8/1/25,1.99,Van Wyck Expressway,T1,Vacationer,False,False,,0,2508.0
10052,8/1/25,2.02,Van Wyck Expressway,T4,Business,False,False,,0,470.0
10053,8/1/25,2.04,Van Wyck Expressway,T5,Vacationer,False,False,,0,1746.0
10054,8/1/25,2.08,Van Wyck Expressway,T1,Business,False,False,,0,380.0
10055,8/1/25,2.09,Van Wyck Expressway,T1,Short-Term,True,False,,0,120.0
10056,8/1/25,2.12,Van Wyck Expressway,T4,Short-Term,False,False,,0,31.0
10057,8/1/25,2.22,Van Wyck Expressway,T1,Business,False,False,,0,473.0
10058,8/1/25,2.22,Van Wyck Expressway,T8,Short-Term,False,False,,0,59.0
10059,8/1/25,2.23,Van Wyck Expressway,T5,Business,False,False,,0,455.0
10060,8/1/25,2.23,Van Wyck Expressway,T5,Short-Term,False,False,,0,43.0
10061,8/1/25,2.26,Van Wyck Expressway,T1,Vacationer,False,False,,0,901.0
10062,8/1/25,2.31,Van Wyck Expressway,T4,Business,False,False,,0,412.0
10063,8/1/25,2.39,Van Wyck Expressway,T4,Staff,True,False,,0,480.0
10064,8/1/25,2.43,Van Wyck Expressway,T8,Short-Term,False,False,,0,102.0
10065,8/1/25,2.52,Van Wyck Expressway,T8,Short-Term,False,False,,0,69.0
10066,8/1/25,2.57,Van Wyck Expressway,T4,Short-Term,False,False,,0,56.0
10067,8/1/25,2.6,Van Wyck Expressway,T8,Short-Term,True,False,,0,57.0
10068,8/1/25,2.63,Van Wyck Expressway,T8,Short-Term,False,False,,0,49.0
10069,8/1/25,2.67,Van Wyck Expressway,T1,Short-Term,False,False,,0,67.0
10070,8/1/25,2.72,Van Wyck Expressway,T8,Short-Term,False,False,,0,76.0
10071,8/1/25,2.74,Van Wyck Expressway,T5,Vacationer,False,False,,0,3306.0
10072,8/1/25,2.75,Van Wyck Expressway,T4,Short-Term,False,False,,0,93.0
10073,8/1/25,2.77,Van Wyck Expressway,T1,Short-Term,False,False,,0,52.0
10074,8/1/25,2.77,Van Wyck Expressway,T1,Short-Term,False,False,,0,116.0
10075,8/1/25,2.83,Van Wyck Expressway,T4,Business,False,False,,0,137.0
10076,8/1/25,2.86,Van Wyck Expressway,T4,Short-Term,True,False,,0,40.0
10077,8/1/25,2.86,Van Wyck Expressway,T4,Short-Term,False,False,,0,46.0
10078,8/1/25,2.86,Van Wyck Expressway,T1,Vacationer,False,False,,0,1046.0
10079,8/1/25,2.88,Van Wyck Expressway,T4,Short-Term,False,False,,0,110.0
10080,8/1/25,2.9,Van Wyck Expressway,T5,Short-Term,False,False,,0,107.0
10081,8/1/25,2.94,Van Wyck Expressway,T8,Short-Term,False,False,,0,115.0
10082,8/1/25,3.02,Van Wyck Expressway,T8,Business,False,False,,0,260.0
10083,8/1/25,3.06,Van Wyck Expressway,T5,Business,False,False,,0,345.0
10084,8/1/25,3.13,Van Wyck Expressway,T5,Business,False,False,,0,145.0
10085,8/1/25,3.13,Van Wyck Expressway,T5,Short-Term,False,False,,0,60.0
10086,8/1/25,3.18,Van Wyck Expressway,T4,Short-Term,True,False,,0,103.0
10087,8/1/25,3.19,Van Wyck Expressway,T1,Short-Term,False,False,,0,114.0
10088,8/1/25,3.19,Van Wyck Expressway,T1,Business,False,False,,0,184.0
10089,8/1/25,3.25,Van Wyck Expressway,T1,Vacationer,False,False,,0,866.0
10090,8/1/25,3.26,Van Wyck Expressway,T5,Business,False,False,,0,429.0
10091,8/1/25,3.28,Van Wyck Expressway,T1,Vacationer,False,False,,0,1856.0
10092,8/1/25,3.31,Van Wyck Expressway,T1,Business,False,False,,0,442.0
10093,8/1/25,3.33,Van Wyck Expressway,T1,Short-Term,False,False,,0,62.0
10094,8/1/25,3.46,Van Wyck Expressway,T8,Business,False,False,,0,347.0
10095,8/1/25,3.48,Van Wyck Expressway,T1,Short-Term,False,False,,0,49.0
10096,8/1/25,3.6,Van Wyck Expressway,T5,Vacationer,True,False,,0,2318.0
10097,8/1/25,3.6,Van Wyck Expressway,T1,Business,False,False,,0,317.0
10098,8/1/25,3.65,Van Wyck Expressway,T1,Staff,False,False,,0,480.0
10099,8/1/25,3.69,Van Wyck Expressway,T5,Short-Term,False,False,,0,50.0
10100,8/1/25,3.71,Van Wyck Expressway,T4,Vacationer,True,False,,0,696.0
10101,8/1/25,3.88,Van Wyck Expressway,T1,Short-Term,False,False,,0,51.0
10102,8/1/25,3.98,Van Wyck Expressway,T8,Business,False,False,,0,150.0
