AgentID,Date,ArrivalTime,EntryPoint,TargetTerminal,UserType,ReservationStatus,DisabilityStatus,LotID,ParkingFee,ParkingDurationForecast
10001,8/1/25,0.22,Van Wyck Expressway,T4,Business,False,False,,0,372.0
10002,8/1/25,0.27,Van Wyck Expressway,T8,Staff,True,False,,0,480.0
10003,8/1/25,1.2,Van Wyck Expressway,T5,Short-Term,False,False,,0,88.0
10004,8/1/25,1.34,Van Wyck Expressway,T1,Short-Term,False,False,,0,118.0
10005,8/1/25,1.48,Van Wyck Expressway,T4,Short-Term,False,False,,0,67.0
10006,8/1/25,1.75,Van Wyck Expressway,T4,Vacationer,False,False,,0,1237.0
10007,8/1/25,1.96,Van Wyck Expressway,T4,Short-Term,False,False,,0,56.0
10008,8/1/25,1.97,Van Wyck Expressway,T5,Business,True,False,,0,205.0
10009,8/1/25,1.97,Van Wyck Expressway,T4,Vacationer,True,False,,0,3155.0
10010,8/1/25,2.07,Van Wyck Expressway,T8,Short-Term,False,False,,0,88.0
10011,8/1/25,2.39,Van Wyck Expressway,T4,Vacationer,False,False,,0,4190.0
10012,8/1/25,2.42,Van Wyck Expressway,T8,Vacationer,False,False,,0,1167.0
10013,8/1/25,2.92,Van Wyck Expressway,T1,Staff,False,False,,0,480.0
10014,8/1/25,2.98,Van Wyck Expressway,T8,Short-Term,True,False,,0,67.0
10015,8/1/25,3.19,Van Wyck Expressway,T8,Staff,False,False,,0,480.0
10016,8/1/25,3.49,Van Wyck Expressway,T1,Business,False,False,,0,229.0
10017,8/1/25,3.75,Van Wyck Expressway,T8,Staff,False,False,,0,480.0
10018,8/1/25,4.22,Van Wyck Expressway,T8,Vacationer,False,False,,0,3633.0
10019,8/1/25,4.72,Van Wyck Expressway,T1,Short-Term,False,False,,0,41.0
10020,8/1/25,4.83,Van Wyck Expressway,T5,Vacationer,False,False,,0,778.0
10021,8/1/25,5.02,Van Wyck Expressway,T1,Short-Term,False,False,,0,81.0
10022,8/1/25,5.09,Van Wyck Expressway,T5,Business,False,False,,0,179.0
10023,8/1/25,5.14,Van Wyck Expressway,T5,Business,False,False,,0,237.0
10024,8/1/25,5.2,Van Wyck Expressway,T8,Short-Term,False,False,,0,53.0
10025,8/1/25,6.28,Van Wyck Expressway,T1,Short-Term,False,False,,0,118.0
10026,8/1/25,6.47,Van Wyck Expressway,T5,Vacationer,False,False,,0,1674.0
10027,8/1/25,6.48,Van Wyck Expressway,T8,Vacationer,True,False,,0,1425.0
10028,8/1/25,6.79,Van Wyck Expressway,T8,Business,False,False,,0,358.0
10029,8/1/25,6.93,Van Wyck Expressway,T4,Vacationer,False,False,,0,3792.0
10030,8/1/25,6.98,Van Wyck Expressway,T4,Short-Term,False,False,,0,86.0
10031,8/1/25,7.16,Van Wyck Expressway,T8,Business,False,False,,0,458.0
10032,8/1/25,7.18,Van Wyck Expressway,T1,Business,False,False,,0,183.0
10033,8/1/25,7.41,Van Wyck Expressway,T8,Vacationer,False,False,,0,424.0
10034,8/1/25,7.43,Van Wyck Expressway,T4,Vacationer,False,False,,0,505.0
10035,8/1/25,7.75,Van Wyck Expressway,T4,Short-Term,False,False,,0,100.0
10036,8/1/25,9.14,Van Wyck Expressway,T4,Staff,False,False,,0,480.0
10037,8/1/25,9.25,Van Wyck Expressway,T8,Short-Term,False,False,,0,50.0
10038,8/1/25,9.65,Van Wyck Expressway,T4,Short-Term,False,False,,0,37.0
10039,8/1/25,9.79,Van Wyck Expressway,T5,Staff,False,False,,0,480.0
10040,8/1/25,9.86,Van Wyck Expressway,T1,Short-Term,False,False,,0,91.0
10041,8/1/25,9.91,Van Wyck Expressway,T5,Business,False,False,,0,195.0
10042,8/1/25,10.33,Van Wyck Expressway,T1,Business,False,False,,0,188.0
10043,8/1/25,10.43,Van Wyck Expressway,T1,Vacationer,False,False,,0,3925.0
10044,8/1/25,10.6,Van Wyck Expressway,T8,Business,False,False,,0,339.0
10045,8/1/25,10.98,Van Wyck Expressway,T4,Business,False,False,,0,327.0
10046,8/1/25,11.0,Van Wyck Expressway,T5,Business,False,False,,0,238.0
10047,8/1/25,11.17,Van Wyck Expressway,T5,Vacationer,False,False,,0,434.0
10048,8/1/25,11.24,Van Wyck Expressway,T8,Vacationer,True,False,,0,1920.0
